City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Taltal,CL,64.13,clear sky,-25.4,-70.4833,Residencial Karime
457,Itarema,BR,75.72,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
458,Asosa,ET,64.45,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
463,Biak,ID,78.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
464,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
467,Conceicao Do Araguaia,BR,75.67,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
468,Alta Floresta,BR,75.25,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
469,Katherine,AU,77.32,clear sky,-14.4667,132.2667,Pine Tree Motel
470,Pacific Grove,US,62.28,few clouds,36.6177,-121.9166,Lovers Point Inn
472,Boyolangu,ID,76.5,overcast clouds,-8.1181,111.8935,Yos ega cv
473,Nabire,ID,77.07,moderate rain,-3.3667,135.4833,Hotel Nusantara I
480,Huarmey,PE,67.17,clear sky,-10.0681,-78.1522,Hotel Miramar
482,San Joaquin,US,66.27,broken clouds,37.9333,-121.3011,University Plaza Waterfront Hotel
483,Fiumicino,IT,62.78,few clouds,41.7675,12.2291,Al Porticciolo Hotel
488,Salo,IT,63.79,broken clouds,45.6086,10.531,Park Hotel Casimiro Village - Blu Hotels
491,Half Moon Bay,US,63.18,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
492,Hervey Bay,AU,69.03,moderate rain,-25.2986,152.8535,Shelly Bay Resort
500,Saurimo,AO,72.18,broken clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
501,Tagbac,PH,75.16,overcast clouds,7.089,125.1567,Sitio Maupot Family Resort
508,Rincon,US,75.16,clear sky,32.296,-81.2354,Days Inn Rincon
509,Chattanooga,US,78.08,few clouds,35.0456,-85.3097,The Read House
511,Labuhan,ID,79.32,overcast clouds,-6.8844,112.2051,DoubleFAG
512,Port Hedland,AU,64.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
514,Dezful,IR,71.4,clear sky,32.3811,48.4058,مهمانپذیر خوزستان
